shape,trend,l,val1,val2,val3,brk1,brk2,r,H,expected_traj,expected_class,iter
abt,ccv,100,6,3,6,30,70,1.6,0.75,1_breakpoint,abrupt,25
abt,cvx,100,3,6,3,30,70,1.6,0.75,1_breakpoint,abrupt,25
abt,pos,100,3,4.5,6,30,70,1.6,0.75,1_breakpoint,abrupt,25
abt,neg,100,6,4.5,3,30,70,1.6,0.75,1_breakpoint,abrupt,25
abt,ccv,100,6,3,6,25,50,1.6,0.75,1_breakpoint,abrupt,25
abt,cvx,100,3,6,3,25,50,1.6,0.75,1_breakpoint,abrupt,25
abt,pos,100,3,4.5,6,25,50,1.6,0.75,1_breakpoint,abrupt,25
abt,neg,100,6,4.5,3,25,50,1.6,0.75,1_breakpoint,abrupt,25
abt,ccv,100,6,3,4.5,30,70,1.6,0.75,1_breakpoint,abrupt,25
abt,cvx,100,3,6,4.5,30,70,1.6,0.75,1_breakpoint,abrupt,25
abt,pos,100,3,5,6,30,70,1.6,0.75,1_breakpoint,abrupt,25
abt,neg,100,6,4,3,30,70,1.6,0.75,1_breakpoint,abrupt,25
